0.5     1.7511869367176202e-14
0.6     3.4785090601172654e-14
0.7     6.468414032223919e-14
0.8     1.1306201193167343e-13
0.9     2.1305792738578808e-13
1.0     3.838317194693777e-13
1.1     6.120511719365919e-13
1.2     9.37650050551285e-13
1.3     1.3888573177643948e-12
1.4     1.998887712798614e-12
1.5     2.806803560350164e-12
1.6     3.861059552308265e-12
1.7     5.217961729313605e-12
1.8     6.9439144423727705e-12
1.9     9.116256502163727e-12
2.0     1.182352284646017e-11
2.1     1.5166415154956286e-11
2.2     1.9259189285545042e-11
2.3     2.4229995760413056e-11
2.4     3.022140187976424e-11
2.5     3.739115617405812e-11
2.6     4.591330405675915e-11
2.7     5.597937442621484e-11
2.8     6.779955165864235e-11
2.9     8.160289283558921e-11
3.0     9.763782562424523e-11
3.1     1.1617279570222294e-10
3.2     1.3749761812882749e-10
3.3     1.619226836976146e-10
3.4     1.8977996910019105e-10
3.5     2.2142403352038958e-10
3.6     2.572319826856313e-10
3.7     2.976051583468902e-10
3.8     3.429692160417736e-10
3.9     3.9377509802670455e-10
4.0     4.5050044518747145e-10
4.1     5.136504119424267e-10
4.2     5.837568669367076e-10
4.3     6.613807465828243e-10
4.4     7.471111637994564e-10
4.5     8.415677215133451e-10
4.6     9.453990198082982e-10
4.7     1.0592860309115146e-09
4.8     1.1839403671033007e-09
4.9     1.320107936837203e-09
5.0     1.4685635894620607e-09
